candidate_id,mechanism,regime,final_score,primary_failure_class,secondary_failure_class,fixable_vs_true_rejection,evidence_gap,proxy_dependence,intraday_required,event_metadata_required,regime_vocab_issue,sample_size_issue,backtest_weak,recommended_next_evidence_step
ptc_backtest_final_046a9dbf853f7c42,OPENING_RANGE,HIGH_VOLATILITY,0.642909,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_04a687b081d95eae,VWAP_OR_AVERAGE_RECLAIM,UNKNOWN,0.663712,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_05e4c8563adf27d6,VWAP_OR_AVERAGE_RECLAIM,LOW_VOLATILITY,0.610084,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_06285ebbca73ade3,VWAP_OR_AVERAGE_RECLAIM,TRENDING,0.656661,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_071fe8d8468f11a7,TREND_CONTINUATION,HIGH_VOLATILITY,0.65658,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_07a3db2ceac1653d,MEAN_REVERSION,CHOP,0.678742,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_07f06de12ebbb482,SESSION_TIMING,UNKNOWN,0.636064,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_08fedcae31873c91,OPENING_RANGE,TRENDING,0.67199,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0a75270e4aced70b,BREAKOUT,HIGH_VOLATILITY,0.642209,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_0a7c84f1f05a917e,SESSION_TIMING,HIGH_VOLATILITY,0.657304,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0b99fbe63c99fafa,MEAN_REVERSION,CHOP,0.683335,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0c34f820682f2bf0,VOLATILITY_EXPANSION,CHOP,0.670357,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0c44012b7d461f9b,LIQUIDITY_SWEEP,CHOP,0.673368,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0cceb8ceae37fa1b,OPENING_RANGE,CHOP,0.653365,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0d062d53e36215bc,TREND_CONTINUATION,TRENDING,0.699542,INTRADAY_REQUIRED,EVIDENCE_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_0d74c3a730acb174,OPENING_RANGE,CHOP,0.66062,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_0df2fa30ffcbc127,REVERSAL,LOW_VOLATILITY,0.624902,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_0e47e54d68df23b2,OPENING_RANGE,LOW_VOLATILITY,0.608082,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_0ea60d559ba9d153,VWAP_OR_AVERAGE_RECLAIM,LOW_VOLATILITY,0.610571,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_0ee5a48c813c158d,BREAKOUT,UNKNOWN,0.672996,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_101e2f4b495d0ade,SESSION_TIMING,UNKNOWN,0.632317,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_10f1125a57e3e633,MEAN_REVERSION,CHOP,0.684308,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_111ba2c238976aea,MEAN_REVERSION,UNKNOWN,0.680519,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_11943bdfd5c2bfee,BREAKOUT,LOW_VOLATILITY,0.621633,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_129cbc3dba0a6030,TREND_CONTINUATION,HIGH_VOLATILITY,0.662592,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_132bed719ce20d48,LIQUIDITY_SWEEP,UNKNOWN,0.676962,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_133dce459bccef18,MEAN_REVERSION,LOW_VOLATILITY,0.649053,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_13d5b8917f072715,VOLATILITY_EXPANSION,CHOP,0.669269,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_13f50d7b6e9b9b1e,EVENT_REACTION,TRENDING,0.675771,TRUE_REJECTION,EVENT_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_14143f615c830af7,TREND_CONTINUATION,CHOP,0.625369,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_152adfbd23003578,OPENING_RANGE,LOW_VOLATILITY,0.611758,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_158689d9e7ef68a5,LIQUIDITY_SWEEP,LOW_VOLATILITY,0.622539,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_15e8f1bf844a9730,OPENING_RANGE,UNKNOWN,0.631163,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1625b4258b327662,EVENT_REACTION,LOW_VOLATILITY,0.623163,EVENT_REQUIRED,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Acquire event metadata and run event-window replay on direct symbols; keep current rejection unchanged.
ptc_backtest_final_167bf746a7e16482,BREAKOUT,HIGH_VOLATILITY,0.643645,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_17a594323c3c52e0,VWAP_OR_AVERAGE_RECLAIM,HIGH_VOLATILITY,0.689791,INTRADAY_REQUIRED,EVIDENCE_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_17d8e91072182cdf,REVERSAL,UNKNOWN,0.673655,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_1984b1c0cbe16bec,SESSION_TIMING,TRENDING,0.657744,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1996c1c3f3a598e8,TREND_CONTINUATION,UNKNOWN,0.67506,INTRADAY_REQUIRED,VOCABULARY_GAP,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Acquire matching intraday bars and use mechanism-specific trigger templates before retest.
ptc_backtest_final_199c01b1a6e78de1,TREND_CONTINUATION,LOW_VOLATILITY,0.627053,EVIDENCE_GAP,INTRADAY_REQUIRED,FIXABLE_VALIDATION_LIMITATION,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Build direct-data sample attrition ledger and resolve missing/sample-size evidence before retest.
ptc_backtest_final_1a45cf7451e0957a,SESSION_TIMING,TRENDING,0.65322,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1a6376409237c506,VWAP_OR_AVERAGE_RECLAIM,TRENDING,0.65626,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1ab545d55604fcec,MEAN_REVERSION,CHOP,0.682836,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1b56a9a563f2aa25,LIQUIDITY_SWEEP,CHOP,0.675125,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1c3fd971b2c1225f,OPENING_RANGE,TRENDING,0.671027,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
ptc_backtest_final_1da1427baf8402d0,TREND_CONTINUATION,HIGH_VOLATILITY,0.659805,TRUE_REJECTION,INTRADAY_REQUIRED,TRUE_REJECTION_OR_MAJOR_REDESIGN,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Hold or retire unless a redesigned hypothesis addresses weak backtest evidence; do not promote.
