source_vocabulary,term,namespace,observed_in,canonical_candidate_term,canonical_validation_term,canonical_replay_term,canonical_qualification_term,translation_status,notes
Vocabulary A,MIDDAY_SESSION,session_regime,"memory labels",MIDDAY_SESSION,,,,MISSING_TRANSLATION,"Session dimension; mechanism search also uses MIDDAY."
Vocabulary A,MIDDAY,session_regime_alias,"mechanism search space",MIDDAY_SESSION,,,,ALIAS_TRANSLATION_NEEDED,"Alias is inferable but not declared globally."
Vocabulary A,CLOSING_SESSION,session_regime,"memory labels; mechanism search space",CLOSING_SESSION,,,,MISSING_TRANSLATION,"Session dimension; not a daily proxy regime."
Vocabulary A,NEWS_EVENT,event_regime,"memory labels",NEWS_EVENT,,,,MISSING_TRANSLATION,"Event dimension; not a daily proxy regime."
Vocabulary A,EVENT_WINDOW,event_regime,"mechanism search space",EVENT_WINDOW,,,,MISSING_TRANSLATION,"Event dimension; may require intraday/event metadata."
Vocabulary A,MACRO_RELEASE,event_regime,"mechanism search space",MACRO_RELEASE,,,,MISSING_TRANSLATION,"Event dimension; not comparable to market state labels."
Vocabulary A,EARNINGS_REACTION,event_regime,"mechanism search space",EARNINGS_REACTION,,,,MISSING_TRANSLATION,"Event dimension; not comparable to market state labels."
Vocabulary A,LOW_LIQUIDITY,liquidity_regime,"memory labels",LOW_LIQUIDITY,,,,MISSING_TRANSLATION,"Liquidity dimension; no daily proxy translation."
Vocabulary A,HIGH_LIQUIDITY,liquidity_regime,"memory labels",HIGH_LIQUIDITY,,,,MISSING_TRANSLATION,"Liquidity dimension; no daily proxy translation."
Vocabulary A,LIQUID_SESSION,liquidity_session_regime,"mechanism search space",LIQUID_SESSION,,,,MISSING_TRANSLATION,"Composite liquidity/session dimension."
Vocabulary A,COMPRESSED_VOLATILITY,volatility_setup_regime,"mechanism search space; mechanism deep trial",COMPRESSED_VOLATILITY,,,,MISSING_TRANSLATION,"Setup condition; could overlap LOW_VOLATILITY but not safely equivalent."
Vocabulary A,POST_EVENT_DIGESTION,event_phase_regime,"mechanism search space",POST_EVENT_DIGESTION,,,,MISSING_TRANSLATION,"Event phase; no daily proxy translation."
Vocabulary A,CATALYST_PENDING,event_phase_regime,"mechanism search space",CATALYST_PENDING,,,,MISSING_TRANSLATION,"Event phase; no daily proxy translation."
Vocabulary A,GAP_DAY,session_price_action_regime,"mechanism search space",GAP_DAY,,,,MISSING_TRANSLATION,"Price-action/session condition."
Vocabulary A,HIGH_OPENING_VOLUME,session_liquidity_regime,"mechanism search space",HIGH_OPENING_VOLUME,,,,MISSING_TRANSLATION,"Opening-volume condition; not a daily trend/volatility label."
Vocabulary A,INTRADAY_TREND,intraday_regime,"mechanism search space; mechanism deep trial",INTRADAY_TREND,,,,MISSING_TRANSLATION,"Intraday dimension; daily replay cannot certify it."
Vocabulary A,PULLBACK,price_action_regime,"mechanism search space",PULLBACK,,,,MISSING_TRANSLATION,"Price-action state; no direct daily proxy regime."
Vocabulary A,RANGE_BREAK,price_action_regime,"mechanism search space",RANGE_BREAK,,,,MISSING_TRANSLATION,"Price-action state; not equivalent to RANGE_BOUND."
Vocabulary A,REVERSAL_CANDIDATE,price_action_regime,"mechanism search space",REVERSAL_CANDIDATE,,,,MISSING_TRANSLATION,"Setup label; no direct daily proxy regime."
Vocabulary A,MOMENTUM,price_action_regime,"mechanism search space",MOMENTUM,,,,MISSING_TRANSLATION,"May overlap TRENDING but not safely equivalent."
Vocabulary A,RISK_ON,risk_regime,"mechanism search space",RISK_ON,,,,MISSING_TRANSLATION,"Risk-appetite dimension; no direct daily proxy translation."
Vocabulary A,risk_on,risk_regime_malformed,"morning review",RISK_ON,,,,NORMALIZATION_NEEDED,"Lowercase value appears in regime-shaped field."
Vocabulary A,EXHAUSTION,price_action_regime,"mechanism search space; mechanism deep trial",EXHAUSTION,,,,MISSING_TRANSLATION,"Setup label; no direct daily proxy regime."
Vocabulary A,RANGE_EXTREME,price_action_regime,"mechanism search space",RANGE_EXTREME,,,,MISSING_TRANSLATION,"Could relate to RANGE_BOUND but is not equivalent."
Vocabulary A,OPENING_SESSION_HIGH_VOLATILITY,composite_regime,"historical replay demo; paper-forward outcome demo",OPENING_SESSION+HIGH_VOLATILITY,,,,DECOMPOSE_BEFORE_COMPARE,"Composite label combines session and volatility."
Vocabulary A,MIDDAY_SESSION_CHOP,composite_regime,"historical replay demo; paper-forward outcome demo",MIDDAY_SESSION+CHOP,,,,DECOMPOSE_BEFORE_COMPARE,"Composite label combines session and candidate market regime."
Vocabulary A,OPENING_SESSION_LOW_VOL,composite_regime,"paper trading queue demo",OPENING_SESSION+LOW_VOLATILITY,,,,DECOMPOSE_BEFORE_COMPARE,"Composite uses alias LOW_VOL."
Vocabulary A,"CHOP, TRENDING",joined_regime_list,"winner pattern extraction",CHOP|TRENDING,,,,PARSE_REQUIRED,"Comma-joined list is not a scalar regime."
Vocabulary A,YES,malformed_regime_value,"learning validation or morning review regime-shaped paths",,,,,INVALID_VALUE,"Boolean-like value is not a regime."
Vocabulary B,HIGH_VOLATILITY,validation_sample_regime,"candidate_backtests.py classifier; direct validation samples",,HIGH_VOLATILITY,,,DIRECT_MATCH,"Daily proxy classifier output."
Vocabulary B,TRENDING,validation_sample_regime,"candidate_backtests.py classifier; direct validation samples",,TRENDING,,,DIRECT_MATCH,"Daily proxy classifier output."
Vocabulary B,RANGE_BOUND,validation_sample_regime,"candidate_backtests.py classifier; direct validation samples",,RANGE_BOUND,,,DIRECT_MATCH,"Daily proxy classifier output."
Vocabulary B,LOW_VOLATILITY,validation_sample_regime,"candidate_backtests.py classifier; direct validation samples",,LOW_VOLATILITY,,,DIRECT_MATCH,"Daily proxy classifier output."
Vocabulary B,UNKNOWN,validation_sample_regime,"candidate_backtests.py classifier; direct validation samples",,UNKNOWN,,,DIRECT_MATCH,"Daily proxy fallback output."
Vocabulary B,CONFIRMED,direct_validation_classification,"direct_candidate_data_validation.py",,CONFIRMED,,,IMPOSSIBLE_COMPARISON,"Validation result, not market regime."
Vocabulary B,WEAKENED,direct_validation_classification,"direct_candidate_data_validation.py",,WEAKENED,,,IMPOSSIBLE_COMPARISON,"Validation result, not market regime."
Vocabulary B,INSUFFICIENT_DATA,direct_validation_or_backtest_classification,"direct_candidate_data_validation.py; candidate_backtests.py",,INSUFFICIENT_DATA,,,IMPOSSIBLE_COMPARISON,"Classification, not market regime."
Vocabulary B,BACKTEST_SUPPORTED,backtest_classification,"candidate_backtests.py",,BACKTEST_SUPPORTED,,,IMPOSSIBLE_COMPARISON,"Backtest result, not market regime."
Vocabulary B,BACKTEST_WEAK,backtest_classification,"candidate_backtests.py",,BACKTEST_WEAK,,,IMPOSSIBLE_COMPARISON,"Backtest result, not market regime."
Vocabulary B,BACKTEST_FAILED,backtest_classification,"candidate_backtests.py",,BACKTEST_FAILED,,,IMPOSSIBLE_COMPARISON,"Backtest result, not market regime."
Vocabulary B,SPEC_TOO_AMBIGUOUS,backtest_classification,"candidate_backtests.py",,SPEC_TOO_AMBIGUOUS,,,IMPOSSIBLE_COMPARISON,"Spec-quality result, not market regime."
Vocabulary C,INSUFFICIENT_SAMPLE,replay_certification_status,"historical_replay_engine.py",,,INSUFFICIENT_SAMPLE,,IMPOSSIBLE_COMPARISON,"Replay evidence status, not market regime."
Vocabulary C,REPLAY_POSITIVE,replay_certification_status,"historical_replay_engine.py; reports",,,REPLAY_POSITIVE,,IMPOSSIBLE_COMPARISON,"Replay evidence status, not market regime."
Vocabulary C,REPLAY_NEUTRAL,replay_certification_status,"historical_replay_engine.py; reports",,,REPLAY_NEUTRAL,,IMPOSSIBLE_COMPARISON,"Replay evidence status, not market regime."
Vocabulary C,REPLAY_NEGATIVE,replay_certification_status,"historical_replay_engine.py; reports",,,REPLAY_NEGATIVE,,IMPOSSIBLE_COMPARISON,"Replay evidence status, not market regime."
Vocabulary D,FINAL_AFTER_BACKTEST,qualification_stage,"backtest_aware_final_qualification.py",,,,FINAL_AFTER_BACKTEST,IMPOSSIBLE_COMPARISON,"Qualification stage, not market regime."
Vocabulary D,HUMAN_REVIEWED_PAPER_TESTING_CONSIDERATION,qualification_authority_level,"backtest_aware_final_qualification.py",,,,HUMAN_REVIEWED_PAPER_TESTING_CONSIDERATION,IMPOSSIBLE_COMPARISON,"Authority level, not market regime."
Vocabulary D,eligible,qualification_boolean,"backtest_aware_final_qualification.py",,,,eligible,IMPOSSIBLE_COMPARISON,"Boolean qualification outcome, not market regime."
