source_family,source_term,compared_term,classification,semantic_dimension,can_approximate_chop,validation_safe,observed_evidence,notes
validation_reports,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,daily_validation_classifier,NO,NO,"root cause table tracks LOW_VOLATILITY_as_CHOP_proxy separately and sparsely","Too weak and semantically different for default approximation."
validation_reports,CHOP,UNKNOWN,NOT_EQUIVALENT,daily_validation_classifier,NO,NO,"root cause table tracks UNKNOWN_as_CHOP_proxy separately","UNKNOWN can be diagnostic but is not a semantic substitute."
semantic_answer,CHOP,volatility_state,NOT_EQUIVALENT,volatility_magnitude,NO,NO,"HIGH_VOLATILITY and LOW_VOLATILITY are separate labels","CHOP is not a pure volatility state."
semantic_answer,CHOP,sideways_market_state,PARTIAL_EQUIVALENT,market_directionality,YES_DIAGNOSTIC_ONLY,NO,"CHOP -> RANGE_BOUND proxy and breakout-in-CHOP candidate usage","Recommended as part of CHOP meaning."
semantic_answer,CHOP,low_directional_state,PARTIAL_EQUIVALENT,market_directionality,YES_DIAGNOSTIC_ONLY,NO,"CHOP is distinct from TRENDING and proxied by RANGE_BOUND","Low directional clarity is inferred, not formally encoded."
semantic_answer,CHOP,range_state,PARTIAL_EQUIVALENT,range_behavior,YES_DIAGNOSTIC_ONLY,NO,"REGIME_PROXY_MAP maps CHOP to RANGE_BOUND","Closest single proxy."
semantic_answer,CHOP,combination_of_multiple_states,PARTIAL_EQUIVALENT,composite_candidate_context,YES_DIAGNOSTIC_ONLY,NO,"CHOP acts as candidate-side context rather than daily formula","Best interpretation: sideways/range plus low directional, not necessarily low vol."
final_decision,CHOP,RANGE_BOUND,PARTIAL_EQUIVALENT,recommended_proxy,YES_DIAGNOSTIC_ONLY,NO,"all reviewed evidence","Use for diagnostics/proxy studies only."
final_decision,CHOP,LOW_VOLATILITY,NOT_EQUIVALENT,rejected_proxy,NO,NO,"all reviewed evidence","Do not approximate CHOP by LOW_VOLATILITY alone."
final_decision,CHOP,BOTH,NOT_EQUIVALENT,rejected_proxy_bundle,NO,NO,"all reviewed evidence","Defaulting to both over-broadens CHOP and mixes dimensions."
final_decision,CHOP,NEITHER,NOT_EQUIVALENT,exact_validation_position,NO_PROXY_FOR_EXACT_VALIDATION,YES,"current exact-label validation design","For validation authority, neither proxy is safe without a governed bridge."
