candidate_id,candidate_group,group_count,final_score,failing_score_components,replay_support,backtest_support,evidence_maturity,proxy_dependence,sample_size,regime_fit,primary_failure_reason,fixability,poor_candidate_or_poor_validation,source_basis
GROUP::COMPONENT_REGIME_COVERAGE,average qualification component suppressor,600,average contribution=0.044; suppression_vs_max=0.036,regime_coverage,component-level aggregate,edge qualification excludes backtest evidence in gate audit,varies,not directly encoded at edge gate,varies,primary component,average regime_coverage contribution below max,FIXABLE_VALIDATION_GAP,poor validation/evidence maturity,edge_qualification_gate_audit.component_suppression_rank
ptc_backtest_final_009acc9a8738e8f0,materialized REJECT_FOR_NOW preview row,1,0.682689,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,1540,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_00ddd14158f5530b,materialized REJECT_FOR_NOW preview row,1,0.621197,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_00fac299fa02a3a9,materialized REJECT_FOR_NOW preview row,1,0.654562,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,1836,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0201292a9823e314,materialized REJECT_FOR_NOW preview row,1,0.677634,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,1540,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_02630f234d5edbab,materialized REJECT_FOR_NOW preview row,1,0.607147,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_02881049f0191b18,materialized REJECT_FOR_NOW preview row,1,0.690446,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,35,HIGH_VOLATILITY,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_03db5cf7c3b7bb99,materialized REJECT_FOR_NOW preview row,1,0.678027,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,648,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_040dea316c6d1917,materialized REJECT_FOR_NOW preview row,1,0.658838,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,374,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_042ef18d74cfe0e1,materialized REJECT_FOR_NOW preview row,1,0.660083,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,215,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_045abee318c2560a,materialized REJECT_FOR_NOW preview row,1,0.674959,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,285,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_046a9dbf853f7c42,materialized REJECT_FOR_NOW preview row,1,0.642909,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,57,HIGH_VOLATILITY,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_04a687b081d95eae,materialized REJECT_FOR_NOW preview row,1,0.663712,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,374,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_05e4c8563adf27d6,materialized REJECT_FOR_NOW preview row,1,0.610084,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_06285ebbca73ade3,materialized REJECT_FOR_NOW preview row,1,0.656661,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,215,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_071fe8d8468f11a7,materialized REJECT_FOR_NOW preview row,1,0.65658,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,45,HIGH_VOLATILITY,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_07a3db2ceac1653d,materialized REJECT_FOR_NOW preview row,1,0.678742,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,571,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_07f06de12ebbb482,materialized REJECT_FOR_NOW preview row,1,0.636064,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,2542,UNKNOWN,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_08fedcae31873c91,materialized REJECT_FOR_NOW preview row,1,0.67199,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,442,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0a75270e4aced70b,materialized REJECT_FOR_NOW preview row,1,0.642209,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,26,HIGH_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0a7c84f1f05a917e,materialized REJECT_FOR_NOW preview row,1,0.657304,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,149,HIGH_VOLATILITY,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0b99fbe63c99fafa,materialized REJECT_FOR_NOW preview row,1,0.683335,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,571,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0c34f820682f2bf0,materialized REJECT_FOR_NOW preview row,1,0.670357,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,209,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0c44012b7d461f9b,materialized REJECT_FOR_NOW preview row,1,0.673368,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,93,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0cceb8ceae37fa1b,materialized REJECT_FOR_NOW preview row,1,0.653365,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,179,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0d062d53e36215bc,materialized REJECT_FOR_NOW preview row,1,0.699542,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,3075,TRENDING,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0d74c3a730acb174,materialized REJECT_FOR_NOW preview row,1,0.66062,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,179,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0df2fa30ffcbc127,materialized REJECT_FOR_NOW preview row,1,0.624902,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0e47e54d68df23b2,materialized REJECT_FOR_NOW preview row,1,0.608082,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0ea60d559ba9d153,materialized REJECT_FOR_NOW preview row,1,0.610571,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_0ee5a48c813c158d,materialized REJECT_FOR_NOW preview row,1,0.672996,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,811,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_101e2f4b495d0ade,materialized REJECT_FOR_NOW preview row,1,0.632317,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,2542,UNKNOWN,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_10f1125a57e3e633,materialized REJECT_FOR_NOW preview row,1,0.684308,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,571,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_111ba2c238976aea,materialized REJECT_FOR_NOW preview row,1,0.680519,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,1540,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_11943bdfd5c2bfee,materialized REJECT_FOR_NOW preview row,1,0.621633,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_129cbc3dba0a6030,materialized REJECT_FOR_NOW preview row,1,0.662592,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,45,HIGH_VOLATILITY,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_132bed719ce20d48,materialized REJECT_FOR_NOW preview row,1,0.676962,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,285,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_133dce459bccef18,materialized REJECT_FOR_NOW preview row,1,0.649053,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,2,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_13d5b8917f072715,materialized REJECT_FOR_NOW preview row,1,0.669269,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,209,CHOP,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_13f50d7b6e9b9b1e,materialized REJECT_FOR_NOW preview row,1,0.675771,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,343,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_14143f615c830af7,materialized REJECT_FOR_NOW preview row,1,0.625369,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,CHOP,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_152adfbd23003578,materialized REJECT_FOR_NOW preview row,1,0.611758,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_158689d9e7ef68a5,materialized REJECT_FOR_NOW preview row,1,0.622539,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_15e8f1bf844a9730,materialized REJECT_FOR_NOW preview row,1,0.631163,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,764,UNKNOWN,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_1625b4258b327662,materialized REJECT_FOR_NOW preview row,1,0.623163,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_167bf746a7e16482,materialized REJECT_FOR_NOW preview row,1,0.643645,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,26,HIGH_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_17a594323c3c52e0,materialized REJECT_FOR_NOW preview row,1,0.689791,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,35,HIGH_VOLATILITY,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_17d8e91072182cdf,materialized REJECT_FOR_NOW preview row,1,0.673655,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,707,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_1984b1c0cbe16bec,materialized REJECT_FOR_NOW preview row,1,0.657744,backtest_evidence_score; profit_factor; expectancy; drawdown; final_score,not materialized in final ranking row; inferred insufficient to qualify,BACKTEST_WEAK,moderate/weak,global proxy penalty applies to all evaluated candidates,1836,TRENDING,final_score below 0.7; backtest classification BACKTEST_WEAK,TRUE_REJECTION_OR_MAJOR_REDESIGN,poor candidate/evidence,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_1996c1c3f3a598e8,materialized REJECT_FOR_NOW preview row,1,0.67506,final_score,not materialized in final ranking row; inferred insufficient to qualify,not explicitly weak/insufficient in preview,moderate/weak,global proxy penalty applies to all evaluated candidates,3120,UNKNOWN,final_score below 0.7,FIXABLE_OR_RETESTABLE,mixed threshold/evidence maturity,final_candidate_ranking.excluded_candidates preview
ptc_backtest_final_199c01b1a6e78de1,materialized REJECT_FOR_NOW preview row,1,0.627053,sample_size; missing_evidence_penalty; final_score,not materialized in final ranking row; inferred insufficient to qualify,INSUFFICIENT_DATA,low,global proxy penalty applies to all evaluated candidates,0,LOW_VOLATILITY,final_score below 0.7; backtest classification INSUFFICIENT_DATA,FIXABLE_VALIDATION_GAP,poor validation/sample availability,final_candidate_ranking.excluded_candidates preview
